a|b
mozilla/releng-jacuzzis|mozilla
lightsweeper/lightsweeper|lightsweeper
aldey-inc/nanoAuto|aldey-inc
androidarmv6/android_frameworks_base|androidarmv6
rapid7/metasploit-framework|rapid7
csula/cs203-winter-2015|csula
androidarmv6/android_packages_apps_Settings|androidarmv6
nutsandboltspack/nutsandbolts|nutsandboltspack
resque/resque|resque
angular/angular-hint|angular
aosp-stock/vendor_stock|aosp-stock
omnirom/android_device_samsung_p1|omnirom
PeggApp/pegg|PeggApp
amplab-extras/SparkR-pkg|amplab-extras
aestheticinteractive/Hovercast-VR-Menu|aestheticinteractive
fwdcp/nodecg-strawpoll|fwdcp
dudeteam/CodeGraph|dudeteam
CrystalRayEternityGames/Crystal-Ray-Source|CrystalRayEternityGames
sakai-mirror/test-center|sakai-mirror
omnirom/android_device_samsung_aries-common|omnirom
reflectometry/reduction|reflectometry
membase/testrunner|membase
sakai-mirror/mneme|sakai-mirror
libgit2/objective-git|libgit2
apache/incubator-ranger|apache
cloudfoundry/cf-release|cloudfoundry
grpc/grpc|grpc
BoxLib-Codes/wdmerger|BoxLib-Codes
proofchains/python-proofmarshal|proofchains
noironetworks/horizon|noironetworks
wp-plugins/orillacart|wp-plugins
Home-SignUp/Jenkins-SignUp-Client|Home-SignUp
CS673S15-Group1-Team1/RequireTracker|CS673S15-Group1-Team1
cocos2d/cocos2d-html5|cocos2d
UBERTC/sysroot|UBERTC
mywikis/Hardy-Weinberg-Calculator|mywikis
Starship-Android/android_system_extras|Starship-Android
CyanideL/android_vendor_cyanide|CyanideL
wp-plugins/sucuri-scanner|wp-plugins
zinedistro/zinedistro|zinedistro
BlissPopGM/system_core|BlissPopGM
gangoffour/groupProject|gangoffour
FRC4131/RecycleRush2015|FRC4131
wikimedia/parsoid|wikimedia
GreenTdev/VisualNovel-1|GreenTdev
Iobotics/FRC-2015-RecycleRush|Iobotics
idsdata/IATI-Urls-Snapshot|idsdata
Komodo/komodo-website|Komodo
memex-explorer/memex-explorer|memex-explorer
gosu-lang/gosu-lang|gosu-lang
ucsc-mus-strain-cactus/annotation-database-constructor|ucsc-mus-strain-cactus
dxw/dxw-security-wp-plugin|dxw
RAMCO-AMS/SampleCode|RAMCO-AMS
FinNerds/AndroidApp|FinNerds
dias-epfl/raw-jit-executor|dias-epfl
vikomet/vikomet-android-sdk|vikomet
lg-devs/android_device_lge_d803|lg-devs
pinf-it/it.pinf.lib|pinf-it
fwdcp/nodecg-nowplaying|fwdcp
VentureROM-L/android_frameworks_native|VentureROM-L
lnstempunks/website|lnstempunks
multitheftauto/mtasa-blue|multitheftauto
MCTC-Projects/BookClub|MCTC-Projects
fruux/sabre-dav|fruux
GsDevKit/gsDevKitHome|GsDevKit
cienciahacker/index|cienciahacker
AreaFiftyOne/Foxy_Glenda|AreaFiftyOne
Guavus/spark|Guavus
gluster/glusterfs|gluster
nvrslp/neversleep-php-client|nvrslp
balanced/www.balancedpayments.com|balanced
lg-devs/android_kernel_lge_msm8974-caf|lg-devs
LK8000/LK8000|LK8000
Marx-Engine/term-project|Marx-Engine
concourse/concourse|concourse
concourse/fly|concourse
zalora/args-generics|zalora
uacaps/SignalRNotifications|uacaps
HackaLibramont/discover|HackaLibramont
dictyBase/dictyconference|dictyBase
radicalgraphics/IterRad|radicalgraphics
NREL/EnergyPlus|NREL
COS301-group-authentication-A/part3|COS301-group-authentication-A
codelibs/jhighlight|codelibs
cornell-pl/HsAdapton|cornell-pl
BlissPopGM/packages_providers_ThemesProvider|BlissPopGM
Hackstarter/hackstarter|Hackstarter
crowd-conquer-devs/crowd-conquer|crowd-conquer-devs
thesgc/cbh_chembl_ws_extension|thesgc
ISIS2503-2015-01/Grupo-2|ISIS2503-2015-01
funkywork/RMEBuilder|funkywork
DADACONF/D3D3CONF|DADACONF
cs2103jan2015-f10-2c/main|cs2103jan2015-f10-2c
mozilla/build-partner-repacks|mozilla
quotientapp/baadb|quotientapp
laravel/framework|laravel
FitburIO/framework|FitburIO
chef/oc-chef-pedant|chef
pebble/pebble-api-node|pebble
chef/oc_erchef|chef
coop-developers/coop-apis|coop-developers
winjs/winjs|winjs
syncloud/image|syncloud
cs2103jan2015-w11-2c/main|cs2103jan2015-w11-2c
Springerle/py-generic-project|Springerle
laravel/docs|laravel
RidingtheShortBus/thegame|RidingtheShortBus
linkedin/dustjs|linkedin
HoverRace/HoverRace|HoverRace
cloudmesh/management|cloudmesh
SpecFlow-Plugins/coded-ui|SpecFlow-Plugins
UH-Bioinformatics/Seanome|UH-Bioinformatics
globocom/IWantToWorkAtGloboCom|globocom
mozilla/build-mozharness|mozilla
novus/nvd3|novus
ACMLug/vagrant|ACMLug
GsDevKit/sampleProject|GsDevKit
open-algo/first-repo|open-algo
arcadia-unity/Arcadia|arcadia-unity
ContestHunter/ContestHunterJS|ContestHunter
irods/irods|irods
wp-plugins/spam-hammer|wp-plugins
syncloud/image-ci|syncloud
codeforrva/crimemap|codeforrva
clir/clearnlp-guidelines|clir
imbas-solutions/orthopaedics|imbas-solutions
DevelopersGuild/zombie-ninja-attack-craft|DevelopersGuild
OurComics/our-comics|OurComics
HackNationMC/html|HackNationMC
AOSC-Dev/community-portal|AOSC-Dev
Code-More/mvvm|Code-More
ga-labs-fitness-visualization/fitness-visualization|ga-labs-fitness-visualization
Microsoft/visualfsharp|Microsoft
OnsideFC/Scrapers|OnsideFC
expertiza/expertiza|expertiza
Tatoeba/tatoeba2|Tatoeba
EManual/EManual-Android|EManual
LastMile/services|LastMile
savioke/common_msgs|savioke
cloudfoundry-incubator/diego-release|cloudfoundry-incubator
pantsbuild/pants-for-travis-osx-ci|pantsbuild
wuvt/wuvt-site|wuvt
ContextualElectronics/Full-Charge-Ahead|ContextualElectronics
thestudentlife/Manhattan-Project|thestudentlife
jbemcop/std-dev-env|jbemcop
AlmuraDev/AlmuraSDK|AlmuraDev
wikimedia/mediawiki-extensions|wikimedia
msgpack4z/msgpack4z-core|msgpack4z
antitypical/Manifold|antitypical
Electrostatics/PB-AM|Electrostatics
eXolnet/redmine-code-audit|eXolnet
alertsense/ping-pong-ref|alertsense
msgpack4z/msgpack4z-shapeless|msgpack4z
stackforge/puppet-nova|stackforge
EnginesOS/System|EnginesOS
cypress-io/cypress|cypress-io
beagleboard/beagleboard-org|beagleboard
derbyjs/racer|derbyjs
sbp-conference/sbp2015|sbp-conference
msgpack4z/msgpack4z-api|msgpack4z
ioam/topographica|ioam
concrete5/concrete5-5.7.0|concrete5
VideoGameDesign-TSA-2015/Pixill|VideoGameDesign-TSA-2015
